2025 09/08 15:12:26 [RUN 00001] START : RAYRAW #4, phase 0
2025 09/08 15:19:25 [RUN 00001] G_OFF*: RAYRAW #4, phase 0
2025 09/08 15:19:26 [RUN 00001] STOP  : RAYRAW #4, phase 0
2025 09/08 15:20:41 [RUN 00002] START : RAYRAW #4, phase 1
2025 09/08 15:22:55 [RUN 00002] G_OFF*: RAYRAW #4, phase 1
2025 09/08 15:22:56 [RUN 00002] STOP  : RAYRAW #4, phase 1
2025 09/08 15:25:02 [RUN 00003] START : RAYRAW #4, phase 2
2025 09/08 15:27:37 [RUN 00003] G_OFF*: RAYRAW #4, phase 2
2025 09/08 15:27:38 [RUN 00003] STOP  : RAYRAW #4, phase 2
2025 09/08 15:28:58 [RUN 00004] START : RAYRAW #4, phase 3
2025 09/08 15:31:55 [RUN 00004] G_OFF*: RAYRAW #4, phase 3
2025 09/08 15:31:56 [RUN 00004] STOP  : RAYRAW #4, phase 3
2025 09/08 15:33:28 [RUN 00005] START : RAYRAW #4, phase 4
2025 09/08 15:34:22 [RUN 00005] G_OFF*: RAYRAW #4, phase 4
2025 09/08 15:34:23 [RUN 00005] STOP  : RAYRAW #4, phase 4
2025 09/08 15:35:23 [RUN 00006] START : RAYRAW #4, phase 5
2025 09/08 15:36:28 [RUN 00006] G_OFF*: RAYRAW #4, phase 5
2025 09/08 15:36:29 [RUN 00006] STOP  : RAYRAW #4, phase 5
2025 09/08 15:37:27 [RUN 00007] START : RAYRAW #4, phase 6
2025 09/08 15:38:25 [RUN 00007] G_OFF*: RAYRAW #4, phase 6
2025 09/08 15:38:26 [RUN 00007] STOP  : RAYRAW #4, phase 6
2025 09/08 15:39:26 [RUN 00008] START : RAYRAW #4, phase 7
2025 09/08 15:40:46 [RUN 00008] G_OFF*: RAYRAW #4, phase 7
2025 09/08 15:40:47 [RUN 00008] STOP  : RAYRAW #4, phase 7
2025 09/08 15:44:41 [RUN 00009] START : RAYRAW #11, phase 0
