                       Nickname 	Node	Port	IP Address	ASIC Ready Status
Starting up RAYRAW #1 : rayraw-1 	257	9001	192.168.20.101	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #2 : rayraw-2 	258	9002	192.168.20.102	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #3 : rayraw-3 	259	9003	192.168.20.103	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #4 : rayraw-4 	260	9004	192.168.20.104	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #5 : rayraw-5 	261	9005	192.168.20.105	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #6 : rayraw-6 	262	9006	192.168.20.106	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #7 : rayraw-7 	263	9007	192.168.20.107	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #8 : rayraw-8 	264	9008	192.168.20.108	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #9 : rayraw-9 	265	9009	192.168.20.109	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #10: rayraw-10	266	9010	192.168.20.110	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #11: rayraw-11	267	9011	192.168.20.111	['U16', 'U17', 'U18', 'U19']
Starting up RAYRAW #12: rayraw-12	268	9012	192.168.20.112	['U16', 'U17', 'U18', 'U19']
